,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
4797,USA,LIFEEXP,TOT,YR,A,1980,73.7,
4798,USA,LIFEEXP,TOT,YR,A,1981,74.1,
4799,USA,LIFEEXP,TOT,YR,A,1982,74.5,
4800,USA,LIFEEXP,TOT,YR,A,1983,74.6,
4801,USA,LIFEEXP,TOT,YR,A,1984,74.7,
4802,USA,LIFEEXP,TOT,YR,A,1985,74.7,
4803,USA,LIFEEXP,TOT,YR,A,1986,74.7,
4804,USA,LIFEEXP,TOT,YR,A,1987,74.9,
4805,USA,LIFEEXP,TOT,YR,A,1988,74.9,
4806,USA,LIFEEXP,TOT,YR,A,1989,75.1,
4807,USA,LIFEEXP,TOT,YR,A,1990,75.3,
4808,USA,LIFEEXP,TOT,YR,A,1991,75.5,
4809,USA,LIFEEXP,TOT,YR,A,1992,75.7,
4810,USA,LIFEEXP,TOT,YR,A,1993,75.5,
4811,USA,LIFEEXP,TOT,YR,A,1994,75.7,
4812,USA,LIFEEXP,TOT,YR,A,1995,75.7,
4813,USA,LIFEEXP,TOT,YR,A,1996,76.1,
4814,USA,LIFEEXP,TOT,YR,A,1997,76.5,
4815,USA,LIFEEXP,TOT,YR,A,1998,76.7,
4816,USA,LIFEEXP,TOT,YR,A,1999,76.7,
4817,USA,LIFEEXP,TOT,YR,A,2000,76.7,
4818,USA,LIFEEXP,TOT,YR,A,2001,76.9,
4819,USA,LIFEEXP,TOT,YR,A,2002,77.0,
4820,USA,LIFEEXP,TOT,YR,A,2003,77.1,
4821,USA,LIFEEXP,TOT,YR,A,2004,77.6,
4822,USA,LIFEEXP,TOT,YR,A,2005,77.6,
4823,USA,LIFEEXP,TOT,YR,A,2006,77.8,
4824,USA,LIFEEXP,TOT,YR,A,2007,78.1,
4825,USA,LIFEEXP,TOT,YR,A,2008,78.1,
4826,USA,LIFEEXP,TOT,YR,A,2009,78.5,
4827,USA,LIFEEXP,TOT,YR,A,2010,78.6,
4828,USA,LIFEEXP,TOT,YR,A,2011,78.7,
4829,USA,LIFEEXP,TOT,YR,A,2012,78.8,
4830,USA,LIFEEXP,TOT,YR,A,2013,78.8,
4831,USA,LIFEEXP,TOT,YR,A,2014,78.9,
4832,USA,LIFEEXP,TOT,YR,A,2015,78.7,
4833,USA,LIFEEXP,TOT,YR,A,2016,78.7,
4834,USA,LIFEEXP,TOT,YR,A,2017,78.6,
