,Year,Annual
0,1990,99.999999999873
1,1991,101.525054466102
2,1992,103.267973856078
3,1993,103.050108932331
4,1994,103.050108932331
5,1995,102.61437908483701
6,1996,103.485838779825
7,1997,104.139433551066
8,1998,105.66448801729501
9,1999,104.79302832230701
10,2000,105.446623093548
11,2001,108.06100217851201
12,2002,112.854030500946
13,2003,114.81481481466902
14,2004,114.161220043428
15,2005,116.339869280898
16,2006,118.51851851836801
17,2007,120.043572984597
18,2008,123.09368191705501
19,2009,127.015250544501
20,2010,128.976034858224
21,2011,128.976034858224
22,2012,132.67973856192302
23,2013,137.037037036863
24,2014,136.601307189369
25,2015,139.215686274333
26,2016,144.444444444261
27,2017,143.13725490177902
28,2018,144.008714596767
29,2019,146.623093681731
30,2020,
