Country Name,2018
United States,20544343456936.5
China,13608151864637.854
Japan,4971323079771.87
Germany,3947620162502.9565
United Kingdom,2855296731521.964
France,2777535239277.975
India,2718732231257.571
Italy,2083864259622.6484
Brazil,1868626087908.4788
Canada,1713341704877.0117
Russian Federation,1657554647149.8735
"Korea, Rep.",1619423701169.6343
Australia,1433904348500.1162
Spain,1419041949909.8235
Mexico,1220699479845.9802
Indonesia,1042173300625.5529
Netherlands,913658465709.1249
Saudi Arabia,786521831571.9573
Turkey,771350330455.2667
Switzerland,705140354166.3119
Ohio,659729002000.0
Poland,585663814824.0441
Sweden,556086488936.5588
Belgium,542761092103.4685
Argentina,519871519807.795
Thailand,504992757704.99713
Austria,455285818035.1249
Norway,434166615431.909
United Arab Emirates,414178942592.4793
Nigeria,397269616080.9077
Ireland,382487490532.4787
